postcode,gemeente,code
9401 AB,Assen,106
9401 AC,Assen,106
9401 AD,Assen,106
9401 AE,Assen,106
9401 AG,Assen,106
9401 AH,Assen,106
9401 AJ,Assen,106
9401 AK,Assen,106
9401 AL,Assen,106
9401 AM,Assen,106
9401 AN,Assen,106
9401 AR,Assen,106
9401 AS,Assen,106
9401 AT,Assen,106
9401 AV,Assen,106
9401 AW,Assen,106
9401 AX,Assen,106
9401 AZ,Assen,106
9401 BA,Assen,106
9401 BB,Assen,106
9401 BC,Assen,106
9401 BD,Assen,106
9401 BE,Assen,106
9401 BG,Assen,106
9401 BH,Assen,106
9401 BJ,Assen,106
9401 BK,Assen,106
9401 BL,Assen,106
9401 BM,Assen,106
9401 BN,Assen,106
9401 BP,Assen,106
9401 BR,Assen,106
9401 BS,Assen,106
9401 BT,Assen,106
9401 BV,Assen,106
9401 BW,Assen,106
9401 BX,Assen,106
9401 BZ,Assen,106
9401 CA,Assen,106
9401 CC,Assen,106
9401 CH,Assen,106
9401 CK,Assen,106
9401 CL,Assen,106
9401 CM,Assen,106
9401 CN,Assen,106
9401 CR,Assen,106
9401 CS,Assen,106
9401 CT,Assen,106
9401 CW,Assen,106
9401 CX,Assen,106
9401 CZ,Assen,106
9401 DA,Assen,106
9401 DB,Assen,106
9401 DC,Assen,106
9401 DD,Assen,106
9401 DE,Assen,106
9401 DG,Assen,106
9401 DH,Assen,106
9401 DJ,Assen,106
9401 DK,Assen,106
9401 DL,Assen,106
9401 DM,Assen,106
9401 DN,Assen,106
9401 DP,Assen,106
9401 DR,Assen,106
9401 DS,Assen,106
9401 DT,Assen,106
9401 DV,Assen,106
9401 DW,Assen,106
9401 DX,Assen,106
9401 DZ,Assen,106
9401 EA,Assen,106
9401 EB,Assen,106
9401 EC,Assen,106
9401 ED,Assen,106
9401 EE,Assen,106
9401 EG,Assen,106
9401 EH,Assen,106
9401 EJ,Assen,106
9401 EK,Assen,106
9401 EL,Assen,106
9401 EM,Assen,106
9401 EN,Assen,106
9401 EP,Assen,106
9401 ER,Assen,106
9401 ES,Assen,106
9401 ET,Assen,106
9401 EV,Assen,106
9401 EW,Assen,106
9401 EX,Assen,106
9401 EZ,Assen,106
9401 GA,Assen,106
9401 GB,Assen,106
9401 GC,Assen,106
9401 GD,Assen,106
9401 GE,Assen,106
9401 GG,Assen,106
9401 GH,Assen,106
9401 GJ,Assen,106
9401 GK,Assen,106
9401 GL,Assen,106
9401 GM,Assen,106
9401 GN,Assen,106
9401 GP,Assen,106
9401 GR,Assen,106
9401 GS,Assen,106
9401 GT,Assen,106
9401 GV,Assen,106
9401 GW,Assen,106
9401 GX,Assen,106
9401 GZ,Assen,106
9401 HA,Assen,106
9401 HB,Assen,106
9401 HC,Assen,106
9401 HD,Assen,106
9401 HE,Assen,106
9401 HG,Assen,106
9401 HH,Assen,106
9401 HJ,Assen,106
9401 HK,Assen,106
9401 HL,Assen,106
9401 HM,Assen,106
9401 HN,Assen,106
9401 HP,Assen,106
9401 HR,Assen,106
9401 HS,Assen,106
9401 HT,Assen,106
9401 HV,Assen,106
9401 HW,Assen,106
9401 HX,Assen,106
9401 HZ,Assen,106
9401 JA,Assen,106
9401 JB,Assen,106
9401 JC,Assen,106
9401 JD,Assen,106
9401 JE,Assen,106
9401 JG,Assen,106
9401 JH,Assen,106
9401 JJ,Assen,106
9401 JK,Assen,106
9401 JL,Assen,106
9401 JM,Assen,106
9401 JN,Assen,106
9401 JP,Assen,106
9401 JR,Assen,106
9401 JS,Assen,106
9401 JT,Assen,106
9401 JV,Assen,106
9401 JW,Assen,106
9401 JX,Assen,106
9401 JZ,Assen,106
9401 KB,Assen,106
9401 KC,Assen,106
9401 KD,Assen,106
9401 KE,Assen,106
9401 KG,Assen,106
9401 KH,Assen,106
9401 KJ,Assen,106
9401 KK,Assen,106
9401 KL,Assen,106
9401 KM,Assen,106
9401 KN,Assen,106
9401 KP,Assen,106
9401 KR,Assen,106
9401 KS,Assen,106
9401 KT,Assen,106
9401 KV,Assen,106
9401 KW,Assen,106
9401 KX,Assen,106
9401 KZ,Assen,106
9401 LA,Assen,106
9401 LB,Assen,106
9401 LC,Assen,106
9401 LD,Assen,106
9401 LE,Assen,106
9401 LG,Assen,106
9401 LH,Assen,106
9401 LJ,Assen,106
9401 LK,Assen,106
9401 LL,Assen,106
9401 LM,Assen,106
9401 LN,Assen,106
9401 LP,Assen,106
9401 LR,Assen,106
9401 LS,Assen,106
9401 LT,Assen,106
9401 LV,Assen,106
9401 LW,Assen,106
9401 LX,Assen,106
9401 MA,Assen,106
9401 MB,Assen,106
9401 MC,Assen,106
9401 MD,Assen,106
9401 ME,Assen,106
9401 MG,Assen,106
9401 NA,Assen,106
9401 NB,Assen,106
9401 NC,Assen,106
9401 ND,Assen,106
