RWZI_NUMBER,RWZI_NAME,bouwjaar,type,biocap,hydrcap,ontvwater,laatste_aanpassing,biocapgr136
57,RWZI - Aalsmeer,1990,Ultra laagbelaste actief-slibinstallatie (Carrousel),35.000 i.e. &agrave; 136 gr. TZV / dag,,,,35000
235,RWZI - Aalst,1988,Oxidatiesloot,11.500 i.e. &agrave; 136 gr. TZV / dag,,Waal,,11500
221,RWZI - Aalten,1989,Carrousel,33.000 i.e. &agrave; 136 gr. TZV / dag,,Keizersbeek,,33000
58,RWZI - Aardam West,1981,Ultra laagbelaste actief-slibinstallatie (oxidatiesloot),6.700 i.e. &agrave; 136 gr. TZV / dag,,,,6700
111,RWZI - Aarle-Rixtel,,,300.000 i.e. &agrave; 136 gr. TZV / dag,,,,300000
319,RWZI - Akkrum,1976,Carrousel,18.000 i.e. &agrave; 136 gr. TZV / dag,,,,18000
236,RWZI - Alblasserdam,1980,Schreiber,33.000 i.e. &agrave; 136 gr. TZV / dag,,De Noord,,33000
23,RWZI - Alkmaar,,,97.000 i.e. &agrave; 136 gr. TZV / dag,,,1999,97000
352,RWZI - Almelo-De Sumpel,,,,,,,
203,RWZI - Almelo-Vissedijk,1974,Laag belaste actief-slibinstallatie,,,,1983,
314,RWZI - Almere,,"Zeer laag belaste actief-slibinstallatie, type Caroussel.",329.000 i.e. &agrave; 136 gr. TZV / dag,,Lage Vaart,,329000
59,RWZI - Alphen Kerk en Zanen,1994,Ultra laagbelaste actief-slibinstallatie (Rotoflow),105.000 i.e. &agrave; 136 gr. TZV / dag,,,,105000
60,RWZI - Alphen Noord,1997,Ultra laagbelaste actief-slibinstallatie (Rotoflow),77.000 i.e. &agrave; 136 gr. TZV / dag,,,2008,77000
320,RWZI - Ameland,1975,"Oxidatietanks, alternerende beluchting ",28.000 i.e. &agrave; 136 gr. TZV / dag,,,,28000
274,RWZI - Amersfoort,1973,Actiefslib,335.000 i.e. &agrave; 136 gr. TZV / dag,,Eem,2004,335000
86,RWZI - Ammerstol,1990,Ultra laag belaste actief-slibinstallatie,4.100 i.e. &agrave; 136 gr. TZV / dag,,,,4100
41,RWZI - Amstelveen,1992,Aeratietank,125.000 i.e. &agrave; 136 gr. TZV / dag,,Amstel,2006,125000
42,RWZI - Amsterdam West,2005,Aeratietank,1.014.000 i.e. &agrave; 136 gr. TZV / dag,,Noordezeekanaal,,1014000
289,RWZI - Apeldoorn,2003,Aeratietank,350.000 i.e. &agrave; 136 gr. TZV / dag,,IJssel,,350000
237,RWZI - Arnhem-Zuid,2001,Bio P + voordenit,230.000 i.e. &agrave; 136 gr. TZV / dag,,Hoofdwatergang,,230000
238,RWZI - Asperen,1972,Oxidatiesloot,9.300 i.e. &agrave; 136 gr. TZV / dag,,Linge,,9300
151,RWZI - Assen,,,,,Havenkanaal,2006,
112,RWZI - Asten,,,80.000 i.e. &agrave; 136 gr. TZV / dag,,,,80000
118,RWZI - Baarle-Nassau,,Oxidatiesloot,18.500 i.e. &agrave; 136 gr. TZV / dag,,Bremer,,18500
2,RWZI - Barendrecht,2003,Ultralaagbelaste actief-slibinstallatie,42.500 i.e. &agrave; 136 gr. TZV / dag,,Oude Maas,,42500
119,RWZI - Bath,,Actiefslib,536.000 i.e. &agrave; 136 gr. TZV / dag,,Westerschelde,,536000
24,RWZI - Beemster,,,160.000 i.e. &agrave; 136 gr. TZV / dag,,,,160000
239,RWZI - Beesd,1987,Oxidatiesloot,10.000 i.e. &agrave; 136 gr. TZV / dag,,Linge,,10000
197,RWZI - Beilen,1935,Voorbezink + oxidatiebed,123.000 i.e. &agrave; 136 gr. TZV / dag,,Beilervaart,1970,123000
152,RWZI - Bellingwolde,,,,,B.L. Tijdenskanaal,,
275,RWZI - Bennekom,1971,"Oxidatiesloot / Carrousel ",22.000 i.e. &agrave; 136 gr. TZV / dag,,Valleikanaal,2008,22000
87,RWZI - Bergambacht,1987,Ultra laag belaste actief-slibinstallatie,9.700 i.e. &agrave; 136 gr. TZV / dag,,,,9700
240,RWZI - Bergharen,1976,Concent,13.000 i.e. &agrave; 136 gr. TZV / dag,,Nieuwe Wetering,,13000
88,RWZI - Berkenwoude,1984,Schreiber,4.200 i.e. &agrave; 136 gr. TZV / dag,,,1994,4200
25,"RWZI - Beverwijk ",,,351.000 i.e. &agrave; 136 gr. TZV / dag,,,2010,351000
134,RWZI - Biest-Houtakker,,Oxidatiesloot,99.625 i.e. &agrave; 136 gr. TZV / dag,,Reusel,,99625
321,RWZI - Birdaard,1979,Carrousel,33.000 i.e. &agrave; 136 gr. TZV / dag,,,2006,33000
43,RWZI - Blaricum,1997,Carrousel,33.000 i.e. &agrave; 136 gr. TZV / dag,,Gooiergracht,,33000
61,RWZI - Bodegraven,1977,Ultra laagbelaste actief-slibinstallatie (Carrousel),84.000 i.e. &agrave; 136 gr. TZV / dag,,,1999,84000
322,RWZI - Bolsward,2002,Carrousel,45.000 i.e. &agrave; 136 gr. TZV / dag,,,,45000
241,RWZI - Bommelerwaard-Oost,1996,Carrousel,73.000 i.e. &agrave; 136 gr. TZV / dag,,Waal,,73000
222,RWZI - Borculo,1972,Oxidatietank continu,20.000 i.e. &agrave; 136 gr. TZV / dag,,Berkel,,20000
135,RWZI - Boxtel,,Actiefslib,120.000 i.e. &agrave; 136 gr. TZV / dag,,Dommel,,120000
307,RWZI - Breskens,1989,Actiefslib,25.200 i.e. &agrave; 136 gr. TZV / dag,,,,25200
95,RWZI - Breukelen,1978,"LBAS, biologische fosfaatverwijdering, carrousel",35.000 i.e. &agrave; 136 gr. TZV / dag,,Amsterdam-Rijnkanaal,,35000
290,RWZI - Brummen,2002,Oxidatiesloot,45.000 i.e. &agrave; 136 gr. TZV / dag,,IJssel,,45000
96,RWZI - Bunnik,1972,"Biologische fosfaatverwijdering, twee traps oxidatietanks, 2 straten",42.000 i.e. &agrave; 136 gr. TZV / dag,,Kromme Rijn,1987,42000
323,RWZI - Burgum,2001,Carrousel,73.000 i.e. &agrave; 136 gr. TZV / dag,,,,73000
297,RWZI - Camperlandpolder,1985,Schreiber,37.500 i.e. &agrave; 136 gr. TZV / dag,,,2004,37500
120,RWZI - Chaam,,Oxidatiesloot,8.450 i.e. &agrave; 136 gr. TZV / dag,,Laagheiveldsebeek,,8450
282,RWZI - Coevorden,1982,Phoredox,67.873 i.e. &agrave; 136 gr. TZV / dag,,Afwateringskanaal,1998,67873
242,RWZI - Culemborg,1997,Carrousel,52.000 i.e. &agrave; 136 gr. TZV / dag,,De Lek,,52000
142,RWZI - Dalfsen,1982,Oxidatiesloot met BCFS-proces,35.000 i.e. &agrave; 136 gr. TZV / dag,,Vecht,1996,35000
324,RWZI - Damwoude,1974,Carrousel,46.000 i.e. &agrave; 136 gr. TZV / dag,,,,46000
97,RWZI - De Bilt,1983,Carrousel + Aeratietank,91.000 i.e. &agrave; 136 gr. TZV / dag,,Va de Biltse Grift naar de Kromme Rijn,,91000
26,RWZI - De Cocksdorp,,,,,,,
