"gemeente_code","gemeente","ggd_code","ggd_regio","VR_code","veiligheidsregio"
"GM1680","Aa en Hunze","GG0706","GGD Drenthe","VR03","Drenthe"
"GM0358","Aalsmeer","GG3406","GGD Amsterdam","VR13","Amsterdam-Amstelland"
"GM0197","Aalten","GG1413","GGD Noord- en Oost-Gelderland","VR06","Noord- en Oost-Gelderland"
"GM0059","Achtkarspelen","GG7206","GGD Fryslân","VR02","Fryslân"
"GM0482","Alblasserdam","GG4816","Dienst Gezondheid & Jeugd ZHZ","VR18","Zuid-Holland-Zuid"
"GM0613","Albrandswaard","GG4607","GGD Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond"
"GM0361","Alkmaar","GG2707","GGD Hollands-Noorden","VR10","Noord-Holland-Noord"
"GM0141","Almelo","GG1106","GGD Regio Twente","VR05","Twente"
"GM0034","Almere","GG2209","GGD Flevoland","VR25","Flevoland"
"GM0484","Alphen aan den Rijn","GG4506","GGD Hollands-Midden","VR16","Hollands-Midden"
"GM1723","Alphen-Chaam","GG5206","GGD West-Brabant","VR20","Midden- en West-Brabant"
"GM1959","Altena","GG5206","GGD West-Brabant","VR20","Midden- en West-Brabant"
"GM0060","Ameland","GG7206","GGD Fryslân","VR02","Fryslân"
"GM0307","Amersfoort","GG2514","GGD Regio Utrecht","VR09","Utrecht"
"GM0362","Amstelveen","GG3406","GGD Amsterdam","VR13","Amsterdam-Amstelland"
"GM0363","Amsterdam","GG3406","GGD Amsterdam","VR13","Amsterdam-Amstelland"
"GM0200","Apeldoorn","GG1413","GGD Noord- en Oost-Gelderland","VR06","Noord- en Oost-Gelderland"
"GM0003","Appingedam","GG0111","GGD Groningen","VR01","Groningen"
"GM0202","Arnhem","GG1911","Veiligheids- en Gezondheidsregio Gelderland-Midden","VR07","Gelderland-Midden"
"GM0106","Assen","GG0706","GGD Drenthe","VR03","Drenthe"
"GM0743","Asten","GG5608","GGD Brabant-Zuidoost","VR22","Brabant-Zuidoost"
"GM0744","Baarle-Nassau","GG5206","GGD West-Brabant","VR20","Midden- en West-Brabant"
"GM0308","Baarn","GG2514","GGD Regio Utrecht","VR09","Utrecht"
"GM0489","Barendrecht","GG4607","GGD Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond"
"GM0203","Barneveld","GG1911","Veiligheids- en Gezondheidsregio Gelderland-Midden","VR07","Gelderland-Midden"
"GM0888","Beek","GG6106","GGD Zuid-Limburg","VR24","Limburg-Zuid"
"GM1954","Beekdaelen","GG6106","GGD Zuid-Limburg","VR24","Limburg-Zuid"
"GM0370","Beemster","GG7306","GGD Zaanstreek/Waterland","VR11","Zaanstreek-Waterland"
"GM0889","Beesel","GG6011","GGD Limburg-Noord","VR23","Limburg-Noord"
"GM1945","Berg en Dal","GG2014","GGD Gelderland-Zuid","VR08","Gelderland-Zuid"
"GM1724","Bergeijk","GG5608","GGD Brabant-Zuidoost","VR22","Brabant-Zuidoost"
"GM0893","Bergen (L.)","GG6011","GGD Limburg-Noord","VR23","Limburg-Noord"
"GM0373","Bergen (NH.)","GG2707","GGD Hollands-Noorden","VR10","Noord-Holland-Noord"
"GM0748","Bergen op Zoom","GG5206","GGD West-Brabant","VR20","Midden- en West-Brabant"
"GM1859","Berkelland","GG1413","GGD Noord- en Oost-Gelderland","VR06","Noord- en Oost-Gelderland"
"GM1721","Bernheze","GG5406","GGD Hart voor Brabant","VR21","Brabant-Noord"
"GM0753","Best","GG5608","GGD Brabant-Zuidoost","VR22","Brabant-Zuidoost"
"GM0209","Beuningen","GG2014","GGD Gelderland-Zuid","VR08","Gelderland-Zuid"
"GM0375","Beverwijk","GG3109","GGD Kennemerland","VR12","Kennemerland"
"GM0310","De Bilt","GG2514","GGD Regio Utrecht","VR09","Utrecht"
"GM1728","Bladel","GG5608","GGD Brabant-Zuidoost","VR22","Brabant-Zuidoost"
"GM0376","Blaricum","GG3606","GGD Gooi en Vechtstreek","VR14","Gooi en Vechtstreek"
"GM0377","Bloemendaal","GG3109","GGD Kennemerland","VR12","Kennemerland"
"GM1901","Bodegraven-Reeuwijk","GG4506","GGD Hollands-Midden","VR16","Hollands-Midden"
"GM0755","Boekel","GG5406","GGD Hart voor Brabant","VR21","Brabant-Noord"
"GM1681","Borger-Odoorn","GG0706","GGD Drenthe","VR03","Drenthe"
"GM0147","Borne","GG1106","GGD Regio Twente","VR05","Twente"
"GM0654","Borsele","GG5006","GGD Zeeland","VR19","Zeeland"
"GM0756","Boxmeer","GG5406","GGD Hart voor Brabant","VR21","Brabant-Noord"
"GM0757","Boxtel","GG5406","GGD Hart voor Brabant","VR21","Brabant-Noord"
"GM0758","Breda","GG5206","GGD West-Brabant","VR20","Midden- en West-Brabant"
"GM0501","Brielle","GG4607","GGD Rotterdam-Rijnmond","VR17","Rotterdam-Rijnmond"
"GM1876","Bronckhorst","GG1413","GGD Noord- en Oost-Gelderland","VR06","Noord- en Oost-Gelderland"
"GM0213","Brummen","GG1413","GGD Noord- en Oost-Gelderland","VR06","Noord- en Oost-Gelderland"
"GM0899","Brunssum","GG6106","GGD Zuid-Limburg","VR24","Limburg-Zuid"
"GM0312","Bunnik","GG2514","GGD Regio Utrecht","VR09","Utrecht"
"GM0313","Bunschoten","GG2514","GGD Regio Utrecht","VR09","Utrecht"
"GM0214","Buren","GG2014","GGD Gelderland-Zuid","VR08","Gelderland-Zuid"
