Gemeentenaam,2020-04-15,2020-04-14,2020-04-13,2020-04-12,2020-04-11,2020-04-10,2020-04-09,2020-04-08,2020-04-07,2020-04-06,2020-04-05,2020-04-04,2020-04-03,2020-04-02,2020-04-01,2020-03-31,2020-03-30
Peel en Maas,135,134,133,133,131,130,129,128,124,118,118,117,117,109,107,103,99
Boekel,31,31,31,29,29,29,28,28,28,27,27,27,27,26,23,21,22
Cranendonck,58,57,57,56,53,48,48,48,45,44,44,44,41,38,35,28,16
Bernheze,77,76,76,76,76,76,75,75,72,70,70,69,68,65,61,57,51
Gemert-Bakel,70,69,67,66,65,65,63,62,61,61,61,61,59,57,56,48,36
Oudewater,23,21,21,21,21,20,20,20,20,20,18,16,16,16,15,15,13
Uden,88,88,88,88,88,87,86,84,82,82,82,81,80,77,73,67,54
Meierijstad,166,166,166,165,165,165,160,155,150,144,144,142,134,124,112,110,97
Landerd,29,29,29,28,28,28,28,28,26,25,25,23,23,22,21,20,18
Eijsden-Margraten,47,47,46,46,45,43,41,37,36,36,32,29,25,24,6,6,5
Nederweert,28,28,28,27,27,25,25,25,25,25,25,24,24,24,24,22,19
Simpelveld,17,17,17,17,16,16,16,15,15,15,14,14,13,8,2,2,2
Son en Breugel,27,27,27,25,23,23,23,22,22,22,22,22,20,19,18,15,14
Laarbeek,35,34,33,31,30,28,27,27,27,27,27,27,25,24,24,18,11
Sint Anthonis,18,18,18,18,18,18,17,17,16,15,15,15,15,14,14,14,12
Deurne,50,50,50,48,48,46,46,46,44,44,44,44,43,39,37,34,21
Beesel,20,20,19,19,18,16,15,14,13,13,11,11,11,11,10,10,9
Stein,37,36,36,36,36,35,35,34,33,31,28,26,25,24,11,11,11
Alphen-Chaam,15,15,15,15,15,15,15,15,14,13,11,11,10,10,9,9,9
Leudal,52,52,52,52,51,51,51,50,47,46,46,41,38,35,33,32,28
Someren,28,27,26,24,21,21,20,20,20,20,20,20,19,14,13,8,5
Heerde,26,26,25,24,24,24,24,23,22,22,20,20,19,19,19,17,17
Grave,17,17,17,17,16,16,16,16,15,14,14,14,13,11,10,10,9
Zwartewaterland,31,31,31,30,30,30,29,27,25,22,22,22,21,21,20,20,13
Vught,36,36,36,35,33,33,33,32,31,29,27,27,27,25,24,23,19
Tholen,34,34,34,34,33,33,33,32,31,30,30,30,26,25,23,20,20
Neder-Betuwe,31,31,31,30,30,30,30,30,29,29,28,27,26,26,26,22,20
Roerdalen,26,25,25,25,24,24,24,22,21,21,19,18,18,17,16,13,11
Oss,112,112,112,112,112,113,108,107,104,100,100,96,93,86,78,73,66
Voerendaal,15,14,13,13,12,12,12,12,11,11,9,9,8,7,2,2,2
Lopik,17,17,17,17,17,16,15,15,15,15,12,12,12,10,10,11,8
Brunssum,32,32,32,32,30,29,29,28,25,25,25,24,23,21,9,9,8
Venlo,115,115,115,113,112,109,105,101,100,95,85,83,80,72,66,64,62
Overbetuwe,54,53,52,52,51,48,49,47,47,45,43,43,42,39,38,32,31
Maastricht,137,135,128,128,122,118,116,112,109,106,99,93,87,77,26,25,25
Kerkrade,51,49,46,46,47,47,44,42,40,38,36,34,33,30,10,10,10
Beekdaelen,40,40,36,36,37,37,37,35,34,34,32,29,28,28,12,12,12
Echt-Susteren,35,35,35,35,34,33,32,32,30,27,25,23,23,22,22,20,19
Weert,55,55,55,55,55,53,52,49,43,40,37,34,33,31,30,27,26
Landgraaf,41,41,36,36,35,35,34,33,31,30,29,27,27,22,7,7,7
Heerlen,95,94,92,92,92,92,92,87,84,83,80,74,72,66,26,24,24
Eersel,21,20,20,19,19,18,18,18,18,18,18,18,16,15,13,11,7
Nunspeet,30,29,28,28,28,27,26,24,23,20,20,19,19,19,17,15,15
Gulpen-Wittem,15,14,13,13,13,13,13,13,13,12,10,10,10,10,2,2,1
Goirle,25,25,24,24,24,24,24,24,23,21,21,20,20,19,17,16,14
Haaren,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14
Best,31,31,31,27,27,25,25,25,24,24,24,24,24,21,19,18,13
Sint-Michielsgestel,30,29,28,27,22,22,21,20,18,18,17,15,15,15,14,14,12
Druten,19,19,19,19,19,19,17,16,16,16,16,16,16,13,13,12,11
Sittard-Geleen,91,91,91,91,88,85,81,76,74,71,68,65,63,55,25,24,24
Wormerland,16,16,16,16,16,16,15,14,13,12,12,12,11,10,9,8,5
Oldebroek,23,23,22,22,19,19,18,17,13,11,10,9,8,8,8,6,6
Heumen,16,16,16,16,16,15,15,14,14,13,12,12,11,10,8,7,6
